tconst	averageRating	numVotes
tt12969084	4.3	201
tt12971802	7.8	2220
tt12973010	3.4	253
tt12973910	6.7	10
tt12979626	7.6	16
tt12985010	3.3	182
tt12985342	7.2	5
tt12988350	5.1	48
tt12992082	5.3	98
tt12992162	7.2	204
tt12996154	2.5	16872
tt12998016	4.2	338
tt13010364	7.5	11
tt13016428	6.1	63
tt13021136	9.0	14
tt13022984	8.7	8777
tt13026738	5.0	1302
tt13028258	7.7	21451
tt13034338	9.2	465
tt13039148	5.6	639
tt13051810	6.9	13
tt13056052	7.1	2339
tt13058146	6.3	90
tt13060184	3.6	408
tt13068648	8.2	10
tt13070038	4.2	157
tt13074728	8.9	16
tt13076182	3.1	65
tt13086492	6.7	97
tt13086670	6.9	78
tt13094586	4.1	359
tt13106182	5.3	31
tt13107800	6.8	299
tt13112698	4.1	213
tt13117446	4.4	2010
tt13130760	8.4	6153
tt13130926	8.9	17
tt13134894	5.3	39
tt13135756	3.1	44
tt13144110	6.6	191
tt13145534	6.7	850
tt13146230	5.7	13
tt13149036	5.5	163
tt13149356	6.0	11
tt13152186	4.0	217
tt13153470	6.3	47
tt13153494	8.2	11
tt13153678	9.5	89
tt13156334	2.1	197
tt13156466	3.4	200
tt13157970	3.5	1898
tt13159840	4.4	7
tt13161934	8.9	16
tt13167612	6.4	74
tt13173736	4.0	310
tt13197812	8.5	720
tt13206784	7.1	457
tt13210188	6.3	655
tt13212246	3.3	17
tt13224254	9.1	148
tt13224490	7.5	74
tt13229946	5.7	454
tt13235822	4.6	5100
tt13241608	10.0	9
tt13242318	8.4	12
tt13245502	7.2	2419
tt13249596	5.9	7545
tt13259610	5.8	52
tt13260630	7.3	69
tt13261944	4.9	150
tt13262202	6.8	26
tt13263282	5.1	84
tt13265204	8.0	404
tt13269868	6.5	46
tt13270424	6.7	1987
tt13275560	7.6	38
tt13276352	5.7	6314
tt13276440	7.6	43
tt13298522	5.5	10
tt13299052	5.4	3489
tt13302660	4.5	534
tt13304556	7.5	126
tt13308110	5.7	374
tt13308316	6.4	229
tt13312144	7.3	10
