tconst	averageRating	numVotes
tt12089564	4.9	308
tt12092864	7.8	18
tt12105800	6.9	53
tt12121582	6.5	288
tt12126628	7.3	420
tt12132832	5.6	602
tt12136312	7.2	274
tt12138298	4.5	114
tt12138574	7.1	810
tt12141112	6.7	25026
tt12144262	7.2	5
tt12146654	2.7	107
tt12146688	2.5	144
tt12147800	6.3	748
tt12151830	6.2	6
tt12156974	7.3	337
tt12160044	8.0	27
tt12176660	8.7	9
tt12186098	5.1	155
tt12193720	1.1	352
tt12194006	7.2	606
tt12215252	6.4	693
tt12215472	8.3	92
tt12216202	7.1	78
tt12221126	6.8	12
tt12223246	4.3	112
tt12241936	9.1	9
tt12246702	8.7	8
tt12252488	7.4	16
tt12253164	7.0	113
tt12256338	4.4	28
tt12262116	7.8	152
tt12262324	6.0	53
tt12264824	6.2	13
tt12264966	6.5	746
tt12267750	8.2	29
tt12275742	3.8	120
tt12279642	5.7	123
tt12280196	6.1	87
tt12283036	4.3	1054
tt12287880	5.9	207
tt12292206	4.7	3908
tt12292314	4.8	253
tt12298140	5.5	938
tt12299696	7.2	22
tt12299992	6.5	319
tt12307548	9.5	6
tt12311620	6.8	296
tt12327578	8.2	23285
tt12330400	7.3	14
tt12338246	4.4	610
tt12344970	7.0	670
tt12345200	8.5	51
tt12348486	8.8	10
tt12358208	6.7	49
tt12359080	2.9	445
tt12373754	8.4	9
tt12375868	8.3	114
tt12379170	6.1	138
tt12384428	7.5	140
tt12386022	5.0	23
tt12390572	5.2	1810
tt12395662	3.9	19
tt12397680	8.0	286
tt12407132	8.0	25
tt12412888	6.5	54841
tt12415670	7.2	40
tt12416794	6.3	100
tt12418202	6.8	6
tt12422308	5.7	9256
tt12429066	6.2	39
tt12432558	6.2	27
tt12432642	7.4	1612
tt12440964	3.1	319
tt12445782	4.0	46
tt12452516	6.5	13
tt12459328	6.0	19
tt12472554	7.6	14660
tt12473774	5.6	82
tt12476270	5.7	2321
tt12477480	7.6	2057
tt12479584	4.8	410
tt12481196	6.7	42
tt12482874	4.8	11
tt12483716	5.9	8
tt12484724	7.3	1800
tt12491048	8.5	26
tt12495406	9.3	16
tt12502288	6.2	251
tt12519030	6.3	5108
tt12530128	8.1	3202
tt12530402	8.3	6
tt12532368	6.3	1375
tt12545566	5.3	1061
tt12550376	4.4	1873
tt12553778	7.8	43
tt12567074	8.1	4125
tt12572084	4.8	803
tt12578564	7.3	2631
tt12579884	4.1	16
tt12580324	5.0	245
tt12580734	5.6	19
tt12581722	9.4	8
tt12585076	5.5	4706
tt12587400	4.4	63
tt12593572	8.7	565
tt12593682	7.5	4822
tt12595378	8.5	1101
tt12608168	8.8	13
tt12614214	7.2	10730
tt12624588	6.1	60
tt12628850	7.8	606
tt12631534	9.1	11
tt12631654	6.9	1260
tt12631784	5.5	158
tt12638598	5.2	31
tt12642764	6.3	1634
tt12654824	8.6	34
